gene	Endothelial_hemogenic	Endothelial_Nonhemogenic_nodox	Progenitor_hematopoietic_nodox	Endothelial_hemogenic_dox	Endothelial_hemogenic_nodox	Endothelial_hemogenic	Endothelial_Nonhemogenic_nodox	Progenitor_hematopoietic_nodox	Endothelial_hemogenic_dox	Endothelial_hemogenic_nodox
ENSG00000184009	3629.72	3317.56	3024.31	3016.13	5332.86	3644.42	4340.4	2516.68	2414.71	4481.95
ENSG00000236085	0.0	0.0	0.65	1.02	2.16	0.8	0.72	0.0	0.0	0.0
ENSG00000163017	3.27	0.0	2.42	0.0	0.31	0.0	1.21	0.0	0.38	1.14
ENSG00000182584	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000136518	147.66	83.96	137.68	120.85	89.87	146.95	85.6	152.16	156.51	131.49
ENSG00000077080	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000187003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000148156	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000117148	0.8	0.0	0.76	0.0	0.0	0.0	0.0	0.49	0.24	0.0
ENSG00000181786	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000072110	195.72	167.95	131.39	220.29	205.13	196.81	134.82	105.26	248.1	207.31
ENSG00000259062	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000077522	0.58	0.26	5.49	3.07	0.0	0.21	0.08	0.3	1.56	0.44
ENSG00000248746	0.0	1.64	1.19	0.0	0.12	0.0	0.0	0.0	0.08	0.0
ENSG00000130402	181.03	291.09	166.19	238.77	245.07	165.25	217.74	126.43	235.67	261.46
ENSG00000131966	54.85	40.26	66.37	67.89	67.14	67.78	53.32	46.31	49.16	100.33
ENSG00000138107	106.73	78.85	91.08	103.1	82.57	107.76	99.42	58.74	66.73	100.5
ENSG00000115073	24.92	89.5	32.65	39.41	22.06	42.04	67.54	35.17	34.77	20.73
ENSG00000138071	552.2	508.72	749.05	841.69	1262.71	614.06	607.32	572.81	564.95	892.12
ENSG00000115091	392.88	308.3	409.5	493.45	539.86	430.5	309.39	321.44	419.93	541.56
ENSG00000133627	18.61	11.57	28.0	22.74	10.35	16.55	13.82	24.06	24.19	13.21
ENSG00000226481	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000227264	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000106526	0.0	0.0	0.86	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000101442	14.18	18.33	12.75	8.08	6.58	8.0	24.81	8.54	9.79	11.84
ENSG00000075089	35.89	24.11	46.25	38.42	23.33	44.64	37.57	26.23	30.38	35.83
ENSG00000113812	15.36	20.6	21.0	14.8	20.25	17.31	22.34	22.43	25.59	23.56
ENSG00000123165	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000169717	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000184378	0.3	5.08	4.41	3.35	0.73	2.68	4.11	2.49	1.45	0.33
ENSG00000115170	17.28	22.76	18.27	26.03	27.27	14.13	32.13	12.69	8.14	17.66
ENSG00000135503	23.45	22.69	15.8	26.2	25.61	41.97	27.37	16.21	18.66	18.38
ENSG00000123612	0.14	0.3	0.0	0.0	0.0	0.04	0.41	0.0	0.0	0.0
ENSG00000121989	5.68	6.41	5.16	3.15	6.29	3.38	8.8	0.85	1.47	6.29
ENSG00000114739	35.55	22.1	12.02	11.55	21.24	32.55	29.23	10.0	12.1	14.18
ENSG00000229589	0.0	0.4	0.2	0.0	0.0	0.0	2.29	0.2	0.22	1.04
ENSG00000139567	46.82	88.09	33.7	75.22	146.47	51.02	102.18	6.29	36.55	108.79
ENSG00000243989	27.51	6.05	25.39	24.94	5.96	15.08	17.07	30.88	45.72	15.04
ENSG00000132744	0.0	0.0	0.55	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000119640	61.73	56.75	41.01	51.96	41.89	48.98	58.63	71.0	62.65	67.29
ENSG00000170634	0.49	1.01	1.47	0.0	6.68	3.69	0.9	2.26	3.91	2.24
ENSG00000196839	13.3	94.99	66.11	13.26	9.84	25.82	81.84	30.99	22.98	21.2
ENSG00000164113	0.0	0.0	0.37	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000140955	0.0	0.12	0.0	4.89	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000168803	10.88	12.43	12.74	17.04	10.97	9.58	19.12	14.53	13.87	7.35
ENSG00000137845	176.01	299.86	178.52	221.41	304.98	216.31	306.92	149.05	126.43	246.42
ENSG00000073670	0.0	0.76	0.32	0.75	0.0	0.5	0.32	0.51	0.3	0.0
ENSG00000148848	3.61	35.5	7.91	7.14	33.66	0.09	19.69	1.44	1.79	13.2
ENSG00000143537	62.96	136.28	68.08	126.29	145.48	41.91	108.98	37.11	65.26	81.92
ENSG00000151694	53.15	79.91	57.12	59.54	101.81	52.11	63.36	35.02	50.96	51.01
ENSG00000168619	0.0	0.0	0.0	0.0	0.0	0.0	0.75	0.0	0.0	0.0
ENSG00000135074	16.86	43.72	23.05	17.38	55.39	28.83	44.09	1.92	18.36	54.34
ENSG00000229186	3.73	7.71	5.79	9.61	3.57	4.31	11.14	6.27	4.3	6.8
